,cluster_id,method_name
434,10,abort
1610,10,addEventListener
84,10,adoptNode
455,7,callUserDataHandlers
70,10,canRenameElements
28,10,changed
238,10,changes
1344,10,checkDOMNSErr
1512,10,checkNamespaceWF
476,10,checkQName
20,6,clearIdentifiers
1246,10,clone
406,10,cloneNode
1176,10,copyEventListeners
602,0,createAttribute
770,0,createAttributeNS
504,0,createCDATASection
728,0,createComment
1008,0,createDocumentFragment
896,0,createDocumentType
1568,0,createElement
1288,0,createElementDefinition
798,0,createElementNS
1400,0,createEntity
924,0,createEntityReference
854,0,createNotation
1414,0,createProcessingInstruction
1624,0,createTextNode
756,10,deletedText
1330,10,dispatchEvent
786,2,freeNodeListCache
350,10,getAsync
199,3,getBaseURI
686,10,getDoctype
952,10,getDocumentElement
1669,3,getDocumentURI
532,10,getDomConfig
714,10,getElementById
1050,10,getElementsByTagName
1036,10,getElementsByTagNameNS
215,5,getEncoding
1506,8,getErrorChecking
294,10,getFeature
398,6,getIdentifier
944,6,getIdentifiers
1134,10,getImplementation
1657,5,getInputEncoding
616,10,getMutationEvents
702,2,getNodeListCache
252,10,getNodeName
1680,10,getNodeNumber
182,10,getNodeType
112,10,getOwnerDocument
1600,4,getStandalone
1590,8,getStrictErrorChecking
1395,9,getTextContent
679,7,getUserData
1155,7,getUserDataRecord
1162,10,getVersion
285,5,getXmlEncoding
1544,4,getXmlStandalone
1106,10,getXmlVersion
812,10,importNode
1372,10,insertBefore
1358,10,insertedNode
826,10,insertedText
910,10,insertingNode
140,10,isKidOK
630,10,isNormalizeDocRequired
1470,10,isValidQName
574,10,isXML11Version
1736,10,isXMLName
1302,10,isXMLVersionChanged
546,10,load
644,10,loadXML
98,10,modifiedAttrValue
1078,10,modifiedCharacterData
1022,10,modifyingCharacterData
322,10,normalizeDocument
384,6,putIdentifier
589,1,readObject
154,10,removeChild
882,10,removeEventListener
468,6,removeIdentifier
63,7,removeUserDataTable
266,10,removedAttrNode
1554,10,removedNode
1526,10,removingNode
1092,10,renameNode
336,10,renamedAttrNode
364,10,renamedElement
1260,10,replaceChild
518,10,replaceRenameElement
42,10,replacedCharacterData
1442,10,replacedNode
1190,10,replacedText
1708,10,replacingData
1274,10,replacingNode
490,10,saveXML
420,10,setAsync
168,10,setAttrNode
227,3,setDocumentURI
131,5,setEncoding
1212,8,setErrorChecking
1699,5,setInputEncoding
560,10,setMutationEvents
1320,4,setStandalone
1240,8,setStrictErrorChecking
1437,9,setTextContent
1071,7,setUserData
315,7,setUserDataTable
966,10,setVersion
5,5,setXmlEncoding
1222,4,setXmlStandalone
868,10,setXmlVersion
980,10,undeferChildren
1457,1,writeObject
