,cluster_id,method_name
0,1,ensureNotationDeclCapacity
1,0,getNextAttributeDeclIndex
2,2,resize
3,0,createContentSpec
4,2,pcdata
5,2,resize
6,0,getContentSpecAsString
7,2,any
8,0,getElementDeclName
9,0,getEntityDecl
10,4,addContentSpecToElement
11,0,createNotationDecl
12,0,createElementDecl
13,0,getElementDeclIsExternal
14,0,setElementDecl
15,2,isImmutable
16,0,setContentSpec
17,0,endDTD
18,0,createEntityDecl
19,4,endGroup
20,2,contentSpecTree
21,2,endContentModel
22,2,resize
23,2,empty
24,4,occurrence
25,2,setDTDSource
26,2,printElements
27,3,getAttributeDecl
28,2,putElementNameMapping
29,0,setNotationDecl
30,1,ensureAttributeDeclCapacity
31,2,isNamespaceAware
32,4,separator
33,2,unparsedEntityDecl
34,2,getDTDSource
35,0,attributeDecl
36,0,getFirstAttributeDeclIndex
37,2,getSymbolTable
38,0,setEntityDecl
39,2,getFirstElementDeclIndex
40,2,textDecl
41,1,ensureEntityDeclCapacity
42,2,comment
43,3,createAttributeDecl
44,2,appendContentSpec
45,0,getAttributeDeclIsExternal
46,4,element
47,2,processingInstruction
48,4,initializeContentModelStack
49,0,setFirstAttributeDeclIndex
50,2,getNextElementDeclIndex
51,2,getElementDeclIndex
52,2,startAttlist
53,1,ensureContentSpecCapacity
54,2,endAttlist
55,2,printAttribute
56,2,getElementDeclIndex
57,1,ensureElementDeclCapacity
58,2,startConditional
59,2,notationDecl
60,0,elementDecl
61,2,ignoredCharacters
62,2,printAttributes
63,2,endConditional
64,2,getNotationDeclIndex
65,2,resize
66,0,getElementContentModelValidator
67,2,setDTDContentModelSource
68,3,setAttributeDecl
69,2,resize
70,2,startParameterEntity
71,2,getDTDContentModelSource
72,2,isCDATAAttribute
73,0,isEntityUnparsed
74,2,addContentSpecNode
75,0,getElementDecl
76,0,setContentSpecIndex
77,2,resize
78,2,buildSyntaxTree
79,2,getAttributeDeclIndex
80,2,startExternalSubset
81,0,getContentSpecIndex
82,2,resize
83,2,addContentSpecNode
84,2,externalEntityDecl
85,2,getEntityDeclIndex
86,2,resize
87,4,startDTD
88,2,endParameterEntity
89,2,isEntityDeclared
90,2,getGrammarDescription
91,2,internalEntityDecl
92,0,getNotationDecl
93,2,startContentModel
94,2,addUniqueLeafNode
95,2,createChildModel
96,2,resize
97,2,endExternalSubset
98,0,getContentSpec
99,0,getContentSpecType
100,2,startGroup
