,cluster_id,method_name
0,1,ensureNotationDeclCapacity
1,4,getNextAttributeDeclIndex
2,0,resize
3,4,createContentSpec
4,0,pcdata
5,0,resize
6,4,getContentSpecAsString
7,0,any
8,4,getElementDeclName
9,4,getEntityDecl
10,3,addContentSpecToElement
11,0,createNotationDecl
12,4,createElementDecl
13,4,getElementDeclIsExternal
14,4,setElementDecl
15,0,isImmutable
16,4,setContentSpec
17,4,endDTD
18,4,createEntityDecl
19,3,endGroup
20,0,contentSpecTree
21,0,endContentModel
22,0,resize
23,0,empty
24,3,occurrence
25,0,setDTDSource
26,0,printElements
27,4,getAttributeDecl
28,0,putElementNameMapping
29,4,setNotationDecl
30,1,ensureAttributeDeclCapacity
31,0,isNamespaceAware
32,3,separator
33,0,unparsedEntityDecl
34,0,getDTDSource
35,2,attributeDecl
36,4,getFirstAttributeDeclIndex
37,0,getSymbolTable
38,4,setEntityDecl
39,0,getFirstElementDeclIndex
40,0,textDecl
41,1,ensureEntityDeclCapacity
42,0,comment
43,4,createAttributeDecl
44,0,appendContentSpec
45,4,getAttributeDeclIsExternal
46,3,element
47,0,processingInstruction
48,3,initializeContentModelStack
49,4,setFirstAttributeDeclIndex
50,0,getNextElementDeclIndex
51,0,getElementDeclIndex
52,0,startAttlist
53,1,ensureContentSpecCapacity
54,0,endAttlist
55,0,printAttribute
56,0,getElementDeclIndex
57,1,ensureElementDeclCapacity
58,0,startConditional
59,0,notationDecl
60,2,elementDecl
61,0,ignoredCharacters
62,0,printAttributes
63,0,endConditional
64,0,getNotationDeclIndex
65,0,resize
66,4,getElementContentModelValidator
67,0,setDTDContentModelSource
68,4,setAttributeDecl
69,0,resize
70,0,startParameterEntity
71,0,getDTDContentModelSource
72,0,isCDATAAttribute
73,4,isEntityUnparsed
74,0,addContentSpecNode
75,4,getElementDecl
76,4,setContentSpecIndex
77,0,resize
78,0,buildSyntaxTree
79,0,getAttributeDeclIndex
80,0,startExternalSubset
81,4,getContentSpecIndex
82,0,resize
83,0,addContentSpecNode
84,0,externalEntityDecl
85,0,getEntityDeclIndex
86,0,resize
87,0,startDTD
88,0,endParameterEntity
89,0,isEntityDeclared
90,0,getGrammarDescription
91,0,internalEntityDecl
92,4,getNotationDecl
93,0,startContentModel
94,0,addUniqueLeafNode
95,0,createChildModel
96,0,resize
97,0,endExternalSubset
98,4,getContentSpec
99,4,getContentSpecType
100,0,startGroup
