,cluster_id,method_name
1045,1,addContentSpecNode
149,1,addContentSpecToElement
1316,4,addUniqueLeafNode
98,4,any
625,1,appendContentSpec
490,4,attributeDecl
1092,4,buildSyntaxTree
588,4,comment
289,1,contentSpecTree
602,0,createAttributeDecl
1330,0,createChildModel
42,0,createContentSpec
168,0,createElementDecl
252,0,createEntityDecl
154,0,createNotationDecl
644,4,element
840,4,elementDecl
322,4,empty
756,4,endAttlist
882,4,endConditional
303,1,endContentModel
238,4,endDTD
1369,3,endExternalSubset
266,4,endGroup
1242,2,endParameterEntity
420,4,ensureAttributeDeclCapacity
751,1,ensureContentSpecCapacity
798,4,ensureElementDeclCapacity
574,4,ensureEntityDeclCapacity
0,4,ensureNotationDeclCapacity
1176,4,externalEntityDecl
378,4,getAttributeDecl
1106,4,getAttributeDeclIndex
630,4,getAttributeDeclIsExternal
1381,1,getContentSpec
93,1,getContentSpecAsString
1143,1,getContentSpecIndex
1395,1,getContentSpecType
1003,1,getDTDContentModelSource
476,4,getDTDSource
933,1,getElementContentModelValidator
1050,4,getElementDecl
714,4,getElementDeclIndex
182,4,getElementDeclIsExternal
112,4,getElementDeclName
126,4,getEntityDecl
1190,4,getEntityDeclIndex
504,4,getFirstAttributeDeclIndex
546,4,getFirstElementDeclIndex
1260,4,getGrammarDescription
14,4,getNextAttributeDeclIndex
700,4,getNextElementDeclIndex
1288,4,getNotationDecl
896,4,getNotationDeclIndex
518,4,getSymbolTable
854,4,ignoredCharacters
681,1,initializeContentModelStack
1274,4,internalEntityDecl
1008,4,isCDATAAttribute
1246,4,isEntityDeclared
1022,4,isEntityUnparsed
210,4,isImmutable
434,4,isNamespaceAware
826,4,notationDecl
336,4,occurrence
56,4,pcdata
770,4,printAttribute
868,4,printAttributes
364,4,printElements
658,4,processingInstruction
392,4,putElementNameMapping
28,4,resize
448,4,separator
952,4,setAttributeDecl
233,1,setContentSpec
1073,1,setContentSpecIndex
947,1,setDTDContentModelSource
350,4,setDTDSource
196,4,setElementDecl
532,4,setEntityDecl
686,4,setFirstAttributeDeclIndex
406,4,setNotationDecl
728,4,startAttlist
812,4,startConditional
1311,1,startContentModel
1218,4,startDTD
1131,3,startExternalSubset
1400,4,startGroup
990,2,startParameterEntity
560,4,textDecl
462,4,unparsedEntityDecl
