,cluster_id,method_name
0,0,getRecognizedProperties
1,0,endDTD
2,2,startElement
3,0,getSawInclude
4,2,emptyElement
5,0,createInputSource
6,0,startAttlist
7,0,attributeDecl
8,0,addUnparsedEntity
9,0,escapeHref
10,0,ignoredCharacters
11,0,reportResourceError
12,0,checkWhitespace
13,1,endCDATA
14,0,setupCurrentBaseURI
15,0,isEqual
16,0,getSawFallback
17,0,copyFeatures
18,0,setProperty
19,1,processingInstruction
20,0,endExternalSubset
21,0,checkMultipleRootElements
22,0,startConditional
23,0,reportResourceError
24,4,reset
25,1,characters
26,0,scopeOfLanguage
27,3,handleIncludeElement
28,0,sameLanguageAsIncludeParent
29,2,endElement
30,0,sameBaseURIAsIncludeParent
31,0,elementDecl
32,0,getRecognizedFeatures
33,0,endParameterEntity
34,0,internalEntityDecl
35,0,getRelativeURI
36,0,setRootElementProcessed
37,0,reportResourceError
38,0,endDocument
39,0,hasXIncludeNamespace
40,0,startDTD
41,1,comment
42,0,setDTDSource
43,0,searchForRecursiveIncludes
44,1,ignorableWhitespace
45,0,setDocumentSource
46,0,setSawInclude
47,0,reportFatalError
48,0,notationDecl
49,0,getRootElementProcessed
50,0,endAttlist
51,0,isTopLevelIncludedItem
52,0,isIncludeElement
53,0,externalEntityDecl
54,0,getDocumentSource
55,0,addNotation
56,0,getFeatureDefault
57,0,startExternalSubset
58,0,setFeature
59,0,copyFeatures
60,0,isTopLevelIncludedItemViaInclude
61,0,reportFatalError
62,0,isFallbackElement
63,0,getDTDSource
64,1,startCDATA
65,0,getRelativeBaseURI
66,0,scopeOfBaseURI
67,0,isTopLevelIncludedItemViaFallback
68,0,endConditional
69,0,processXMLBaseAttributes
70,0,saveBaseURI
71,0,getResultDepth
72,0,restoreLanguage
73,0,processAttributes
74,0,copyFeatures1
75,0,reportFatalError
76,0,startParameterEntity
77,1,startGeneralEntity
78,0,restoreBaseURI
79,0,setErrorReporter
80,0,modifyAugmentations
81,0,getIncludeParentBaseURI
82,0,startDocument
83,0,setState
84,0,processXMLLangAttributes
85,0,getPropertyDefault
86,0,getBaseURI
87,0,reportError
88,0,checkNotation
89,1,textDecl
90,0,setParent
91,0,getIncludeParentLanguage
92,0,unparsedEntityDecl
93,0,getLanguage
94,0,setHref
95,0,xmlDecl
96,0,modifyAugmentations
97,0,copyFeatures1
98,0,saveLanguage
99,0,doctypeDecl
100,0,setXIncludeLocator
101,0,checkAndSendNotation
102,0,getDTDHandler
103,0,setDocumentHandler
104,1,endGeneralEntity
105,0,setDTDHandler
106,0,getState
107,0,checkAndSendUnparsedEntity
108,0,checkUnparsedEntity
109,0,getDocumentHandler
110,0,setSawFallback
111,2,handleFallbackElement
112,0,isRootDocument
113,0,getState
114,0,isValidInHTTPHeader
115,0,getIncludeParentDepth
