,cluster_id,method_name
0,1,getRecognizedProperties
1,1,endDTD
2,0,startElement
3,1,getSawInclude
4,0,emptyElement
5,1,createInputSource
6,1,startAttlist
7,1,attributeDecl
8,1,addUnparsedEntity
9,1,escapeHref
10,1,ignoredCharacters
11,1,reportResourceError
12,4,checkWhitespace
13,2,endCDATA
14,4,setupCurrentBaseURI
15,1,isEqual
16,1,getSawFallback
17,1,copyFeatures
18,1,setProperty
19,2,processingInstruction
20,1,endExternalSubset
21,4,checkMultipleRootElements
22,1,startConditional
23,1,reportResourceError
24,3,reset
25,2,characters
26,1,scopeOfLanguage
27,3,handleIncludeElement
28,1,sameLanguageAsIncludeParent
29,0,endElement
30,1,sameBaseURIAsIncludeParent
31,1,elementDecl
32,1,getRecognizedFeatures
33,1,endParameterEntity
34,1,internalEntityDecl
35,1,getRelativeURI
36,1,setRootElementProcessed
37,1,reportResourceError
38,4,endDocument
39,1,hasXIncludeNamespace
40,1,startDTD
41,2,comment
42,1,setDTDSource
43,1,searchForRecursiveIncludes
44,2,ignorableWhitespace
45,1,setDocumentSource
46,1,setSawInclude
47,1,reportFatalError
48,1,notationDecl
49,1,getRootElementProcessed
50,1,endAttlist
51,1,isTopLevelIncludedItem
52,1,isIncludeElement
53,1,externalEntityDecl
54,1,getDocumentSource
55,1,addNotation
56,1,getFeatureDefault
57,1,startExternalSubset
58,1,setFeature
59,1,copyFeatures
60,1,isTopLevelIncludedItemViaInclude
61,1,reportFatalError
62,1,isFallbackElement
63,1,getDTDSource
64,2,startCDATA
65,1,getRelativeBaseURI
66,1,scopeOfBaseURI
67,1,isTopLevelIncludedItemViaFallback
68,1,endConditional
69,1,processXMLBaseAttributes
70,1,saveBaseURI
71,1,getResultDepth
72,1,restoreLanguage
73,1,processAttributes
74,1,copyFeatures1
75,1,reportFatalError
76,1,startParameterEntity
77,2,startGeneralEntity
78,1,restoreBaseURI
79,1,setErrorReporter
80,1,modifyAugmentations
81,1,getIncludeParentBaseURI
82,4,startDocument
83,1,setState
84,1,processXMLLangAttributes
85,1,getPropertyDefault
86,1,getBaseURI
87,1,reportError
88,1,checkNotation
89,2,textDecl
90,1,setParent
91,1,getIncludeParentLanguage
92,1,unparsedEntityDecl
93,1,getLanguage
94,1,setHref
95,1,xmlDecl
96,1,modifyAugmentations
97,1,copyFeatures1
98,1,saveLanguage
99,1,doctypeDecl
100,1,setXIncludeLocator
101,4,checkAndSendNotation
102,1,getDTDHandler
103,1,setDocumentHandler
104,2,endGeneralEntity
105,1,setDTDHandler
106,1,getState
107,4,checkAndSendUnparsedEntity
108,1,checkUnparsedEntity
109,1,getDocumentHandler
110,1,setSawFallback
111,0,handleFallbackElement
112,1,isRootDocument
113,1,getState
114,1,isValidInHTTPHeader
115,1,getIncludeParentDepth
