,cluster_id,method_name
770,5,addNotation
112,5,addUnparsedEntity
98,5,attributeDecl
350,5,characters
1414,5,checkAndSendNotation
1498,5,checkAndSendUnparsedEntity
294,5,checkMultipleRootElements
1232,5,checkNotation
1512,5,checkUnparsedEntity
168,5,checkWhitespace
574,5,comment
238,5,copyFeatures
1036,5,copyFeatures1
70,0,createInputSource
1386,5,doctypeDecl
434,5,elementDecl
56,5,emptyElement
700,5,endAttlist
182,5,endCDATA
952,5,endConditional
14,5,endDTD
532,5,endDocument
406,5,endElement
291,4,endExternalSubset
1456,5,endGeneralEntity
472,3,endParameterEntity
126,5,escapeHref
742,5,externalEntityDecl
1207,1,getBaseURI
1428,5,getDTDHandler
882,5,getDTDSource
1526,5,getDocumentHandler
756,5,getDocumentSource
784,5,getFeatureDefault
1137,1,getIncludeParentBaseURI
1610,5,getIncludeParentDepth
1274,5,getIncludeParentLanguage
1302,5,getLanguage
1190,5,getPropertyDefault
448,5,getRecognizedFeatures
0,5,getRecognizedProperties
913,1,getRelativeBaseURI
493,1,getRelativeURI
994,5,getResultDepth
686,5,getRootElementProcessed
224,5,getSawFallback
42,5,getSawInclude
1484,5,getState
1554,5,handleFallbackElement
378,5,handleIncludeElement
546,5,hasXIncludeNamespace
616,5,ignorableWhitespace
140,5,ignoredCharacters
476,5,internalEntityDecl
210,5,isEqual
868,5,isFallbackElement
728,5,isIncludeElement
1568,5,isRootDocument
714,5,isTopLevelIncludedItem
938,5,isTopLevelIncludedItemViaFallback
840,5,isTopLevelIncludedItemViaInclude
1596,5,isValidInHTTPHeader
1120,5,modifyAugmentations
672,5,notationDecl
1022,5,processAttributes
966,5,processXMLBaseAttributes
1176,5,processXMLLangAttributes
266,5,processingInstruction
1226,2,reportError
666,2,reportFatalError
162,2,reportResourceError
336,5,reset
1095,1,restoreBaseURI
1008,5,restoreLanguage
423,1,sameBaseURIAsIncludeParent
392,5,sameLanguageAsIncludeParent
983,1,saveBaseURI
1372,5,saveLanguage
927,1,scopeOfBaseURI
364,5,scopeOfLanguage
602,5,searchForRecursiveIncludes
1470,5,setDTDHandler
588,5,setDTDSource
1442,5,setDocumentHandler
630,5,setDocumentSource
1114,2,setErrorReporter
812,5,setFeature
1316,5,setHref
1260,5,setParent
252,5,setProperty
504,5,setRootElementProcessed
1540,5,setSawFallback
644,5,setSawInclude
1162,5,setState
1400,5,setXIncludeLocator
199,1,setupCurrentBaseURI
84,5,startAttlist
896,5,startCDATA
308,5,startConditional
560,5,startDTD
1148,5,startDocument
28,5,startElement
809,4,startExternalSubset
1078,5,startGeneralEntity
1074,3,startParameterEntity
1246,5,textDecl
1288,5,unparsedEntityDecl
1330,5,xmlDecl
