,cluster_id,method_name
0,1,expandRelatedElementComponents
1,1,getIDRegistry
2,1,expandRelatedAttributeGroupComponents
3,1,addGlobalTypeDecl
4,1,findQName
5,1,schemaDocument2SystemId
6,1,getIDRegistry_sub
7,1,expandComponents
8,1,addImportList
9,1,existingGrammars
10,1,addGrammarComponents
11,1,findXSDocumentForDecl
12,1,expandRelatedComponents
13,1,addGlobalAttributeDecl
14,1,findGrammar
15,1,expandImportList
16,1,resolveSchema
17,1,updateImportListWith
18,0,getSchemaDocument
19,1,setGenerateSyntheticAnnotations
20,4,parseSchema
21,1,addRelatedAttribute
22,1,expandRelatedModelGroupComponents
23,1,addGlobalElementDecl
24,1,addNamespaceDependency
25,1,expandRelatedAttributeComponents
26,1,updateImportList
27,2,getGlobalDecl
28,1,addNewGrammarLocations
29,1,addGlobalNotationDecl
30,1,resolveSchemaSource
31,1,resolveSchema
32,1,addNewGrammarComponents
33,1,addGlobalAttributeDecls
34,1,addIDConstraintDecl
35,1,updateImportDependencies
36,1,expandRelatedTypeComponents
37,1,nonAnnotationContent
38,1,addGlobalGroupDecls
39,1,null2EmptyString
40,1,expandRelatedComplexTypeComponents
41,1,expandRelatedParticleComponents
42,0,getSchemaDocument
43,1,reportSharingError
44,1,reset
45,1,containedImportedGrammar
46,1,checkForDuplicateNames
47,1,createTraversers
48,1,element2Locator
49,1,createGrammarFrom
50,1,expandRelatedModelGroupDefinitionComponents
51,1,emptyString2Null
52,1,getGlobalAttributeDecl
53,1,reportSchemaError
54,1,addGlobalAttributeGroupDecl
55,1,fillInLocalElemInfo
56,1,getSchemaDocument0
57,3,prepareForTraverse
58,1,canAddComponents
59,1,addGlobalAttributeGroupDecls
60,1,updateImportList
61,1,addGlobalGroupDecl
62,1,storeKeyRef
63,2,getGlobalDeclFromGrammar
64,1,addGlobalComponents
65,1,traverseSchemas
66,1,getGlobalAttributeGroupDecl
67,1,addGlobalTypeDecls
68,1,setDeclPool
69,1,updateImportListFor
70,1,addRelatedType
71,1,expandRelatedSimpleTypeComponents
72,1,getGrpOrAttrGrpRedefinedByRestriction
73,1,getGlobalElementDecl
74,1,setDVFactory
75,1,isExistingGrammar
76,1,addGlobalElementDecls
77,1,setSchemasVisible
78,1,expandGrammars
79,1,createAnnotationValidator
80,1,addGlobalNotationDecls
81,1,reportSchemaError
82,1,getSchemaGrammar
83,1,getGlobalGroupDecl
84,1,changeRedefineGroup
85,1,needReportTNSError
86,1,getGrammar
87,1,constructTrees
88,1,getGlobalNotationDecl
89,1,reportSchemaWarning
90,0,getSchemaDocument
91,0,getSchemaDocument
92,1,traverseLocalElements
93,2,getGlobalDecl
94,1,validateAnnotations
95,1,checkForDuplicateNames
96,1,buildGlobalNameRegistries
97,1,doc2SystemId
98,1,getGlobalTypeDecl
99,1,resolveKeyRefs
100,2,getGlobalDeclFromGrammar
101,0,getSchemaDocument
102,1,addGrammars
103,1,expandRelatedAttributeUsesComponents
104,1,addRelatedElement
105,1,element2Locator
106,1,getIDConstraintDecl
107,1,addNewImportedGrammars
108,1,renameRedefiningComponents
109,1,removeParticle
110,2,canAddComponent
111,1,getSchemaDocument1
112,2,addGlobalComponent
113,1,traverseGlobalDecl
114,1,expandRelatedAttributeUseComponents
115,1,findDependentNamespaces
116,1,prepareForParse
117,1,reportSchemaWarning
