,cluster_id,method_name
194,3,addGlobalAttributeDecl
474,3,addGlobalAttributeDecls
768,3,addGlobalAttributeGroupDecl
838,3,addGlobalAttributeGroupDecls
1580,3,addGlobalComponent
908,3,addGlobalComponents
334,3,addGlobalElementDecl
1076,3,addGlobalElementDecls
866,3,addGlobalGroupDecl
544,3,addGlobalGroupDecls
418,3,addGlobalNotationDecl
1132,3,addGlobalNotationDecls
54,3,addGlobalTypeDecl
950,3,addGlobalTypeDecls
153,4,addGrammarComponents
1428,5,addGrammars
476,5,addIDConstraintDecl
112,5,addImportList
336,5,addNamespaceDependency
461,4,addNewGrammarComponents
392,5,addNewGrammarLocations
1498,5,addNewImportedGrammars
294,5,addRelatedAttribute
1456,5,addRelatedElement
980,5,addRelatedType
1356,3,buildGlobalNameRegistries
1553,4,canAddComponent
825,4,canAddComponents
1176,5,changeRedefineGroup
644,5,checkForDuplicateNames
1218,5,constructTrees
630,5,containedImportedGrammar
1106,0,createAnnotationValidator
686,0,createGrammarFrom
658,0,createTraversers
1358,5,doc2SystemId
672,5,element2Locator
714,5,emptyString2Null
126,5,existingGrammars
111,4,expandComponents
1092,5,expandGrammars
210,5,expandImportList
363,4,expandRelatedAttributeComponents
41,4,expandRelatedAttributeGroupComponents
1609,4,expandRelatedAttributeUseComponents
1455,4,expandRelatedAttributeUsesComponents
573,4,expandRelatedComplexTypeComponents
181,4,expandRelatedComponents
13,4,expandRelatedElementComponents
321,4,expandRelatedModelGroupComponents
713,4,expandRelatedModelGroupDefinitionComponents
587,4,expandRelatedParticleComponents
1007,4,expandRelatedSimpleTypeComponents
517,4,expandRelatedTypeComponents
770,5,fillInLocalElemInfo
1610,5,findDependentNamespaces
196,5,findGrammar
56,5,findQName
154,5,findXSDocumentForDecl
740,3,getGlobalAttributeDecl
936,3,getGlobalAttributeGroupDecl
390,3,getGlobalDecl
894,3,getGlobalDeclFromGrammar
1034,3,getGlobalElementDecl
1174,3,getGlobalGroupDecl
1244,3,getGlobalNotationDecl
1384,3,getGlobalTypeDecl
1204,5,getGrammar
1008,5,getGrpOrAttrGrpRedefinedByRestriction
1484,5,getIDConstraintDecl
14,5,getIDRegistry
84,5,getIDRegistry_sub
252,5,getSchemaDocument
784,5,getSchemaDocument0
1554,5,getSchemaDocument1
1148,5,getSchemaGrammar
1050,5,isExistingGrammar
1198,1,needReportTNSError
527,2,nonAnnotationContent
546,5,null2EmptyString
280,5,parseSchema
1624,5,prepareForParse
798,5,prepareForTraverse
1526,5,removeParticle
1525,4,renameRedefiningComponents
750,1,reportSchemaError
1246,5,reportSchemaWarning
610,1,reportSharingError
616,5,reset
1386,5,resolveKeyRefs
224,5,resolveSchema
420,5,resolveSchemaSource
70,5,schemaDocument2SystemId
1036,5,setDVFactory
952,5,setDeclPool
266,5,setGenerateSyntheticAnnotations
1078,5,setSchemasVisible
868,5,storeKeyRef
1594,3,traverseGlobalDecl
1288,5,traverseLocalElements
910,5,traverseSchemas
490,5,updateImportDependencies
364,5,updateImportList
966,5,updateImportListFor
238,5,updateImportListWith
1316,5,validateAnnotations
